k,mode,mock_id,n_galaxies,lrt_lambda,lrt_reject,lrt_correct,snr_a,snr_b,a_true,b_true,a_hat,b_hat,tp,fp
1,additive,0,226398,63.739955828039456,True,False,"[29.160845126686006, 0.8461717149355321, 0.2818432866890248, 2.7277684778682265]","[6.50049585968549, 1.5972397840370796, 4.3486474256504835, 1.9611474668957765]","[-0.1655007673598298, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[-0.18421495206492927, 0.005270074229438496, -0.001798383625040731, -0.017016783331688486]","[-0.050855859326497437, 0.01264334054371317, 0.034708027065087736, -0.015468455692641067]",1.0,0.3333333333333333
1,additive,1,245476,9.600671614118255,True,False,"[5.448972585669722, 1.1403474866574501, 0.5687055263454386, 0.17450904413167068]","[1.729957482160161, 2.035861011042844, 1.3332252193222067, 1.1420447149835866]","[0.037779833953523675, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.03226190018368957, -0.006645597273500588, -0.0033762952478208447, -0.001020196167936427]","[-0.014150576640710929, -0.016937511491910435, -0.010450088508982243, -0.008878983568212546]",1.0,0.0
1,additive,2,235024,38.96367508307412,True,False,"[24.637010748744856, 0.16304674957397644, 0.08453940849082453, 0.07496596640202773]","[0.7941965592305502, 1.7356079572393985, 4.754160143600556, 3.865305314571289]","[-0.15352977646089802, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[-0.15137498891582807, -0.0009869250078462417, -0.0005245767812680609, 0.00045496737362826333]","[0.00599708590774487, -0.01340678404963051, -0.03874352661746104, -0.029919917211960467]",1.0,0.0
1,additive,3,242470,27.829565355099476,True,False,"[6.573566851278242, 1.5288663007441823, 0.5398617517617795, 3.3337953873740336]","[2.830219295410586, 1.4052617808499137, 3.7066051719954274, 1.1669616595591017]","[0.04418021459930365, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.038110594533975986, 0.008745823618488663, -0.003158694739815241, -0.019153747451070208]","[-0.02171629473110558, 0.011481157957364036, -0.03051759864269151, -0.009496296209939253]",1.0,0.3333333333333333
1,additive,4,248594,4.331764150731033,False,True,"[8.32683987428074, 0.005725153530637607, 1.4020271822967825, 3.5892077870275503]","[0.7283222131782013, 0.2708348603309933, 1.5365701774984042, 1.2548025402350254]","[-0.04956708246551158, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[-0.05092282212116399, 3.445184732169113e-05, 0.008614278547801479, -0.02167126761281937]","[-0.005808469114416849, 0.002271024151551374, 0.013295120200727074, -0.010162691038071494]",1.0,0.3333333333333333
1,multiplicative,0,226641,479.8314939541324,True,True,"[0.7257879883637276, 1.3517947844331681, 0.1413981962479611, 2.303068134906977]","[23.935577172741258, 1.5944029870569076, 3.9116029920024595, 0.001177414552466907]","[0.0, 0.0, 0.0, 0.0]","[-0.1655007673598298, 0.0, 0.0, 0.0]","[0.004628237949677541, 0.008498653567283283, -0.0009107509769265654, -0.014503001132380993]","[-0.16781870093374912, 0.011721849962559962, 0.028826571601183855, 8.74728196782114e-06]",1.0,0.3333333333333333
1,multiplicative,1,245336,12.156297570818424,True,True,"[0.197754830994479, 0.5646126251103986, 0.927329515530385, 0.21110786481126337]","[2.455930250306842, 1.5766718498809442, 0.823468129717036, 1.6881639641933976]","[0.0, 0.0, 0.0, 0.0]","[0.037779833953523675, 0.0, 0.0, 0.0]","[-0.001168722206394107, -0.00328440170222322, -0.005495357186451986, 0.0012319101553440479]","[0.01991420679401886, -0.012682809785066147, -0.0065438017418981064, -0.012659887679386339]",1.0,0.0
1,multiplicative,2,235595,295.5480149585692,True,True,"[0.7847469357942213, 1.3402454753036184, 0.5568089875729859, 0.8431794733639518]","[17.170037211276018, 1.8235205690782526, 5.4554739306149695, 3.3051095638617167]","[0.0, 0.0, 0.0, 0.0]","[-0.15352977646089802, 0.0, 0.0, 0.0]","[0.0048772043830065835, -0.008206001152387581, 0.0034948722982805712, -0.005176203603930586]","[-0.12222157008926639, -0.01394470383740483, -0.043217269297607545, -0.024801621677231142]",1.0,0.6666666666666666
1,multiplicative,3,242399,30.888137640517016,True,True,"[1.0564867895883254, 2.149621035748477, 0.3022888689864882, 3.318417037907082]","[2.0663774253772207, 2.910055483707362, 3.8459797369232334, 1.884935058998083]","[0.0, 0.0, 0.0, 0.0]","[0.04418021459930365, 0.0, 0.0, 0.0]","[-0.006114052310916642, 0.012274775250552062, -0.0017654998805472844, -0.019031202010590356]","[0.0159122139291626, 0.023511246827389226, -0.031728039438225074, -0.015393175616856044]",1.0,0.6666666666666666
1,multiplicative,4,247515,26.538982871590633,True,True,"[0.13474695053899008, 0.465564080949364, 1.0399072956686437, 3.5480289863353818]","[4.626832882195843, 1.5871566484931297, 1.74483463044284, 0.277218831998855]","[0.0, 0.0, 0.0, 0.0]","[-0.04956708246551158, 0.0, 0.0, 0.0]","[0.0008242995660359257, -0.0028024554512538343, 0.006391326104138392, -0.02142923897267387]","[-0.03669406800993302, -0.013367393771027516, 0.014742446751987088, 0.0022379552086087997]",1.0,0.0
