source,level,scenario,n_gal,n_rand,bias_contaminated,bias_OLS,bias_ISD-1,bias_ISD-3,bias_ElasticNet,bias_MCMC-add,bias_MCMC-comb,improvement_OLS,improvement_ISD-1,improvement_ISD-3,improvement_ElasticNet,improvement_MCMC-add,improvement_MCMC-comb
uchuu,low,additive,330748,2256239,0.0078,0.0141,0.0165,0.0214,0.0127,0.0154,0.0528,0.55,0.47,0.36,0.61,0.51,0.15
uchuu,low,multiplicative,330748,2256239,0.0097,0.0116,0.0145,0.0177,0.0097,0.0132,0.0357,0.83,0.66,0.55,1.00,0.73,0.27
uchuu,low,combined,330748,2256239,0.0169,0.0233,0.0248,0.0304,0.0215,0.0242,0.0504,0.72,0.68,0.56,0.79,0.70,0.33
uchuu,medium,additive,330748,2256239,0.0057,0.0237,0.0258,0.0288,0.0257,0.0306,0.0715,0.24,0.22,0.20,0.22,0.19,0.08
uchuu,medium,multiplicative,330748,2256239,0.0219,0.0240,0.0262,0.0302,0.0219,0.0250,0.0260,0.91,0.84,0.73,1.00,0.87,0.84
uchuu,medium,combined,330748,2256239,0.0211,0.0439,0.0415,0.0448,0.0440,0.0491,0.0577,0.48,0.51,0.47,0.48,0.43,0.37
uchuu,high,additive,330748,2256239,0.0400,0.0239,0.0337,0.0348,0.0240,0.0483,0.0839,1.67,1.19,1.15,1.66,0.83,0.48
uchuu,high,multiplicative,330748,2256239,0.0355,0.0379,0.0379,0.0470,0.0355,0.0384,0.0299,0.93,0.94,0.75,1.00,0.92,1.19
uchuu,high,combined,330748,2256239,0.0214,0.0605,0.0496,0.0538,0.0607,0.0767,0.0738,0.35,0.43,0.40,0.35,0.28,0.29
glass,low,additive,229382,2303760,0.1947,0.0931,0.0614,0.0651,0.0799,0.0374,0.1940,2.09,3.17,2.99,2.44,5.20,1.00
glass,low,multiplicative,229382,2303760,0.1129,0.1034,0.1261,0.1129,0.1054,0.0391,0.1932,1.09,0.90,1.00,1.07,2.89,0.58
glass,low,combined,229382,2303760,0.1884,0.1560,0.1495,0.1485,0.1571,0.0877,0.1439,1.21,1.26,1.27,1.20,2.15,1.31
glass,medium,additive,229382,2303760,1.2097,0.1049,0.0775,0.1042,0.0956,0.1387,0.0884,11.54,15.62,11.61,12.65,8.72,13.69
glass,medium,multiplicative,229382,2303760,0.2180,0.2135,0.2283,0.2180,0.2041,0.1067,0.1268,1.02,0.95,1.00,1.07,2.04,1.72
glass,medium,combined,229382,2303760,1.0036,0.2262,0.1459,0.1775,0.2324,0.3450,0.0919,4.44,6.88,5.65,4.32,2.91,10.92
glass,high,additive,229382,2303760,4.7090,0.1968,0.5871,0.4793,0.1991,0.3184,0.1178,23.93,8.02,9.83,23.66,14.79,39.98
glass,high,multiplicative,229382,2303760,0.3021,0.2787,0.3172,0.3021,0.2896,0.1751,0.2581,1.08,0.95,1.00,1.04,1.73,1.17
glass,high,combined,229382,2303760,4.4542,0.1316,0.5965,0.4875,0.1258,0.5798,0.4489,33.85,7.47,9.14,35.41,7.68,9.92
