nside,logM,basis,theta_arcmin,exact,auto_only,frac_error
32,10.0,original,0.5000,9.653615e-03,2.322299e-01,23.056262
32,10.0,original,0.8944,9.653550e-03,2.322291e-01,23.056336
32,10.0,original,1.5999,9.653343e-03,2.322264e-01,23.056573
32,10.0,original,2.8619,9.652681e-03,2.322178e-01,23.057333
32,10.0,original,5.1193,9.650563e-03,2.321902e-01,23.059763
32,10.0,original,9.1573,9.643790e-03,2.321023e-01,23.067538
32,10.0,original,16.3804,9.622178e-03,2.318215e-01,23.092410
32,10.0,original,29.3011,9.553638e-03,2.309299e-01,23.171934
32,10.0,original,52.4136,9.340492e-03,2.281476e-01,23.425652
32,10.0,original,93.7568,8.718087e-03,2.199273e-01,24.226552
32,10.0,original,167.7112,7.234491e-03,1.994749e-01,26.572766
32,10.0,original,300.0000,5.369706e-03,1.680954e-01,30.304389
32,10.0,pca-rotated,0.5000,9.653615e-03,8.967878e-03,-0.071034
32,10.0,pca-rotated,0.8944,9.653550e-03,8.967811e-03,-0.071035
32,10.0,pca-rotated,1.5999,9.653343e-03,8.967598e-03,-0.071037
32,10.0,pca-rotated,2.8619,9.652681e-03,8.966915e-03,-0.071044
32,10.0,pca-rotated,5.1193,9.650563e-03,8.964730e-03,-0.071067
32,10.0,pca-rotated,9.1573,9.643790e-03,8.957748e-03,-0.071138
32,10.0,pca-rotated,16.3804,9.622178e-03,8.935471e-03,-0.071367
32,10.0,pca-rotated,29.3011,9.553638e-03,8.864873e-03,-0.072094
32,10.0,pca-rotated,52.4136,9.340492e-03,8.645836e-03,-0.074370
32,10.0,pca-rotated,93.7568,8.718087e-03,8.011152e-03,-0.081088
32,10.0,pca-rotated,167.7112,7.234491e-03,6.540745e-03,-0.095894
32,10.0,pca-rotated,300.0000,5.369706e-03,4.936713e-03,-0.080636
32,10.25,original,0.5000,7.667693e-03,1.791233e-01,22.360782
32,10.25,original,0.8944,7.667640e-03,1.791226e-01,22.360858
32,10.25,original,1.5999,7.667471e-03,1.791206e-01,22.361101
32,10.25,original,2.8619,7.666931e-03,1.791139e-01,22.361879
32,10.25,original,5.1193,7.665205e-03,1.790927e-01,22.364367
32,10.25,original,9.1573,7.659685e-03,1.790247e-01,22.372330
32,10.25,original,16.3804,7.642071e-03,1.788077e-01,22.397806
32,10.25,original,29.3011,7.586214e-03,1.781188e-01,22.479276
32,10.25,original,52.4136,7.412536e-03,1.759690e-01,22.739380
32,10.25,original,93.7568,6.905640e-03,1.696176e-01,23.562186
32,10.25,original,167.7112,5.699533e-03,1.538175e-01,25.987733
32,10.25,original,300.0000,4.194170e-03,1.295882e-01,29.897233
32,10.25,pca-rotated,0.5000,7.667693e-03,7.225559e-03,-0.057662
32,10.25,pca-rotated,0.8944,7.667640e-03,7.225505e-03,-0.057662
32,10.25,pca-rotated,1.5999,7.667471e-03,7.225331e-03,-0.057664
32,10.25,pca-rotated,2.8619,7.666931e-03,7.224776e-03,-0.057670
32,10.25,pca-rotated,5.1193,7.665205e-03,7.223001e-03,-0.057690
